subject_filename,ll_wo_constants,func_evals,iterations,alpha,beta_stage2,beta_MB,beta_MF0,beta_MF1,beta_stick
3LWJHTCVCCMBCN1HJ5PCQYXHPF0QF3.csv, -193.767793, 17, 14, 0.519960, 1.631603, 0.303927, 0.325661, 1.307519, 0.298167
3UN61F00HWPJMRNSQ8139CG9X5XR5S.csv, -184.607327, 25, 20, 0.414203, 3.088486, 1.321002, -0.567090, 0.773601, 0.704215
30ZX6P7VF8VAP6LS0KQW9ER63EQ2JO.csv, -211.472355, 17, 15, 0.896034, 2.845849, -0.320929, 0.547208, -0.302648, 1.431581
3S0TNUHWKTI88ZNP65DMG79WKUD8DB.csv, -172.515374, 21, 18, 0.933247, 2.674244, -0.086833, 1.078240, 1.158401, 1.230682
3IXQG4FA2TYF778FX1SULDG71Y39BG.csv, -145.867700, 38, 30, 0.100000, 0.863175, 0.070465, -0.117564, 0.781629, 0.972763
36PW28KO4ZWRJTU4ZY8KIGXCAUQEAQ.csv, -142.633998, 32, 27, 0.581353, 3.674272, 2.234182, -0.876499, 2.143271, 0.759259
3RSDURM96AMSFBS7F4M0L2FJCNNEYX.csv, -212.782384, 24, 20, 0.631252, 2.283710, 0.020799, -0.049078, 1.609354, -0.101450
3FE2ERCCZX8KIODVIVTDDNGLC9IOPN.csv, -199.049729, 37, 32, 0.898026, 4.553781, -0.731723, -0.277718, 3.121729, -0.183150
3WETL7AQWT8R3P2QFI07REDTQN753J.csv, -215.620266, 21, 18, 0.963328, 2.404751, -0.304732, -0.362873, 2.387336, -0.103634
3TPZPLC3M0CVWZK9ZX9LPKIAIRIP38.csv, -242.501669, 30, 20, 0.100000, 0.438092, -0.105922, -0.000864, 0.375267, -0.248100
3YOH7BII097EXHPC6FAJCYOUFK7VKE.csv, -152.531413, 24, 21, 0.678566, 5.000000, 2.164292, -0.600869, 0.860118, 1.001010
3K9FOBBF2HJC9IYLPO0THH7WIYDNLT.csv, -227.089153, 18, 15, 0.759069, 2.613902, 0.761884, 0.121465, 0.046410, 0.379813
3X4JMASXCM9XBDK2X591S2FEYBU0BE.csv, -153.719240, 22, 20, 0.862574, 5.000000, 5.000000, -1.928278, 2.253944, 0.451612
3AZHRG4CU4KS8IGPICUVAJH2AJJ30S.csv, -213.727416, 39, 27, 0.100000, 0.367858, 0.317412, -0.010331, 0.378234, 0.208359
3VAR3R6G1P1ZCWEEWER2R1LVORIO8O.csv, -203.626495, 27, 23, 0.778396, 2.360300, -0.022586, 0.016441, 3.057698, -0.159633
3VE8AYVF8MX56J1LXB8C47CHW7N8FG.csv, -231.666428, 22, 19, 0.599797, 1.661389, -0.630461, 0.591172, 1.517204, -0.457594
3TVSS0C0E10QFPF4QYT7ZRU45N9TWZ.csv, -152.907735, 26, 22, 0.989349, 5.000000, 0.144201, -0.181410, 2.784674, 0.848337
3TAYZSBPLL83O94INEZA1FITYZJ2SN.csv, -145.726702, 29, 24, 0.524935, 2.808776, -0.761818, -0.528001, 3.791896, 0.250669
3OS46CRSLFZ7Y24N4BGI2FJCE6QV6A.csv, -97.186037, 43, 35, 0.306102, 2.210669, -1.721928, 0.117642, 2.558834, 1.510202
3WQQ9FUS6AUFT2P5S9MGLHLWGBXB86.csv, -174.971601, 23, 19, 0.511945, 3.339529, 1.467792, -1.336144, 1.936298, 0.616194
31Q0U3WYDPFAGQ2UG71L15CSKD917W.csv, -171.227831, 19, 17, 0.916128, 2.721235, 0.630962, 0.648648, 1.783012, 0.953074
3Y9N9SS8LYBM72HJUOIQPQ1L4DK3DN.csv, -190.533086, 23, 20, 0.677109, 2.576942, 0.353087, -0.051228, 1.659283, 0.418881
3HVVDCPGTESU4UA45ZBVKOFKGV1TYQ.csv, -100.768580, 41, 33, 0.431465, 5.000000, 0.431763, -0.416157, 2.058150, 1.152772
3KXIR214I4GKMO27XD3S3C2NLMT422.csv, -219.249854, 19, 16, 0.829743, -0.296754, -0.038368, 0.731797, 0.455366, 1.409832
3KAKFY4PGU23FDX5M2J1GNHYWDRI3T.csv, -184.914030, 19, 16, 1.000000, 2.549586, 0.564109, 0.178511, 3.409441, -0.316279
3ZQIG0FLQEG5SHJTVTTM09IP2R8VW2.csv, -123.296701, 27, 24, 0.467473, 2.935992, 0.026788, 0.206001, 1.399715, 1.289673
3S96KQ6I9M4R6JFD93OH735JXWZTDZ.csv, -175.281048, 23, 20, 1.000000, 4.094450, 0.425739, -0.067965, 4.154902, -0.279917
3YGXWBAF70HXK6U9U6SYFPB9X9J4CG.csv, -154.596628, 24, 21, 0.841187, 5.000000, 0.933634, -0.126429, 5.000000, -0.283785
3Y9N9SS8LYBM72HJUOIQPQ1L4ROD3T.csv, -220.607571, 23, 16, 0.379612, 1.792261, -0.685511, 0.059160, -0.094633, 1.148305
3WJEQKOXA82SZS0SNAD5BWEILL3A1K.csv, -171.381299, 30, 25, 0.933443, 4.014402, -0.113385, -0.187356, 5.000000, 0.422433
3VHP9MDGRNK7IMRYENOH6T80MY7CFP.csv, -182.452528, 24, 22, 1.000000, 5.000000, -2.949293, -0.098953, 5.000000, 0.329261
3SNLUL3WO4NP48IUMPCFVCZQPWPLU5.csv, -210.964496, 24, 20, 0.810140, 2.038639, 0.473800, -1.177941, 2.871914, -0.958615
3VE8AYVF8MX56J1LXB8C47CHV9DF8G.csv, -156.252404, 25, 22, 0.885775, 3.300951, -0.087700, 0.478303, 5.000000, 0.319617
3AAJC4I4FGS0VHO4PRZAWP1DNPNJZE.csv, -99.174462, 44, 41, 0.589233, 4.676851, -0.239694, 1.080803, 5.000000, 0.820383
31N2WW6R9RQJ5MVFLUDGDQ46GLZ3FN.csv, -188.083744, 20, 17, 0.799529, 3.742559, -0.309638, 0.673573, 1.360920, 0.516210
3QHK8ZVMIMIA899OMYVKQM721SVBLQ.csv, -265.648200, 24, 19, 0.263379, 0.557532, -0.279054, -0.265557, 0.187735, -0.278231
31T4R4OBOSGU3TCSW4Q5I1VJNDM7CJ.csv, -200.645177, 20, 17, 0.848687, 2.891813, 0.899940, -0.219841, 1.278996, 0.369844
3N4BPTXIO8SEK20C1P0EGCMB1U8KUM.csv, -69.910583, 46, 39, 0.313672, 3.255182, -0.530146, -0.561977, 5.000000, 1.162737
3YHH42UU5BF9OM6EOIYV65BJAO60L1.csv, -145.861132, 27, 24, 0.516529, 3.827552, 2.195128, -0.098115, 2.289781, -0.166872
3TUI152ZZBNKM879C6AR1WTNO5LQ16.csv, -157.631027, 31, 24, 0.341637, 2.709590, 0.002614, -0.000553, 0.670361, 1.078984
3XLBSAQ9Z4C7BMN2OIADTZW4XST7ZY.csv, -172.637668, 27, 23, 0.480655, 3.212415, 0.228536, -0.561227, 1.233053, 0.918880
30LSNF239UVEUV1MI25WXDC6P1A2IO.csv, -194.674381, 24, 21, 0.703886, 3.663332, 1.027898, -0.800974, 1.656603, 0.285803
3S4AW7T80BIQNAOF7JLXI81WRHP4LM.csv, -167.469348, 28, 21, 0.372581, 3.002288, 0.466484, -0.246711, 0.523863, 1.231747
3LPW2N6LKT2B2JF9U2W8EN3T36KU5L.csv, -152.660937, 27, 22, 0.488062, 1.809314, 0.079416, 0.154488, 0.939965, 1.715658
3YGXWBAF70HXK6U9U6SYFPB9W4XC4R.csv, -151.387148, 28, 25, 0.888451, 5.000000, -1.933927, -0.280296, 5.000000, 1.110034
3X31TUMD7XM9VBRWK12VKAUTFGXL1A.csv, -162.559638, 30, 26, 0.581443, 5.000000, 2.674895, -1.161317, 1.513246, 0.950824
3KIBXJ1WD5UJ7XGF53O5H6UMJ8QKOF.csv, -138.778686, 26, 20, 0.660536, 4.194919, 1.930867, -0.826509, 2.262778, 0.483063
3ERMJ6L4DYS7CFOJ9TKJLX0VI7E7MM.csv, -71.472886, 48, 40, 0.268531, 2.440282, -2.570957, -0.063060, 3.658169, 1.981955
3WMOAN2SRBXF5NAF3S2Z4Q5Y8YAVNI.csv, -135.318354, 30, 25, 0.810312, 5.000000, -1.180893, -0.289431, 4.648010, 0.995286
31QTRG6Q2TDWC2HXOI2BFEENRCZYPD.csv, -212.149106, 23, 21, 0.819504, 2.052151, -0.094837, 0.588892, 1.043822, 0.553196
3JV9LGBJWTEE5BKWFC3QJE2TBTYGO0.csv, -166.224300, 22, 18, 0.685558, 2.694041, 0.923244, -0.667065, 2.558369, 0.793244
32ZKVD547FNTS5JZGSRKU0DL1NH3BF.csv, -161.732971, 57, 42, 0.147628, 0.455820, -0.239380, -0.091346, 1.343606, 0.216315
3VW6495TLJ0QLG9YF5YUS57ZVXMYYN.csv, -117.009309, 31, 28, 0.559535, 2.517285, 0.549835, 0.759650, 2.959924, 1.016073
3SITXWYCNV9583QD0HY81G2P8IEXB5.csv, -169.982862, 29, 26, 0.986135, 3.815985, 0.336003, 0.492243, 5.000000, 0.598324
3E337GFOL98WNQKKEX3D4P2OLDKNG7.csv, -133.826767, 49, 38, 0.146238, 1.770627, 0.294740, -0.269309, 1.573655, -0.100766
3XLBSAQ9Z4C7BMN2OIADTZW4XSI7ZN.csv, -157.691225, 28, 26, 0.810293, 2.203732, 0.967813, 0.280535, 5.000000, 0.541432
31JLPPHS2UUDBZ88KXW60KDK8RZO3D.csv, -149.264520, 25, 23, 0.972165, 5.000000, 0.108453, 0.274317, 5.000000, 1.037030
3YW4XOSQKQLCE1EQTFUWBXQCSO91U1.csv, -126.461844, 29, 25, 0.943479, 4.068264, 0.920157, 0.807807, 5.000000, 1.149714
34S6N1K2ZVJKZMCAMQ5GCXA0WM4HLE.csv, -74.815226, 58, 50, 0.445750, 4.683993, 1.312083, -0.216387, 2.303320, 1.853745
3UWN2HHPUY5ZDVTB9XXUT3LRASPSNG.csv, -137.680082, 46, 31, 0.100000, 0.888041, -0.175469, -0.032651, 0.225799, 2.164819
36NEMU28XFDM2UPKH1SVDDZCAHBWM2.csv, -67.296913, 50, 38, 0.177583, 3.003683, 1.436195, -0.469763, 1.803266, 0.883055
35GMH2SV3EHGLXO59HD2JBHHZBREOM.csv, -205.248130, 51, 36, 0.166966, 0.481604, 0.371961, -0.627618, 0.958658, 1.732617
31QNSG6A5RTSRQMFFSA0GFZ0XF3872.csv, -149.304189, 27, 23, 0.831535, 5.000000, -0.521659, -0.320744, 5.000000, 1.003692
32SVAV9L3F9O9VE7AEROZPTFJ5U3AI.csv, -154.938383, 24, 19, 0.375106, 2.007710, -0.015372, -0.407699, 1.617499, 0.945865
3SB5N7Y3O34T2USDDR1FTD6BEOR0G0.csv, -220.295578, 29, 22, 0.287350, 1.877818, 0.015061, -0.074397, -0.198237, 0.649625
3DZQRBDBSLFS9R01REDFKPNL5BR3S4.csv, -116.427839, 51, 38, 0.819685, 3.339282, 4.664868, 2.571734, 5.000000, 1.623556
3RJSC4XJ10UVMX3TWVIOPGFMNH405C.csv, -85.405569, 38, 29, 0.322900, 3.110194, 1.036353, -0.023049, 1.237164, 1.695263
3Z7EFSHGN9EOI8IJEHU3C087P54XC5.csv, -126.953507, 31, 23, 0.241588, 2.515499, 0.286035, -0.241052, 0.910555, 1.570000
3X4JMASXCM9XBDK2X591S2FEYGP0BJ.csv, -173.120758, 32, 25, 0.392608, 1.978262, 1.232172, -0.249194, 0.360157, 0.843192
3LWJHTCVCCMBCN1HJ5PCQYXHQW6FQX.csv, -84.080700, 57, 41, 0.100000, 1.516075, -0.259540, 0.051041, 0.302873, 0.496039
3RGU30DZTA80WAPLA29GON548LFMJA.csv, -261.690648, 31, 23, 0.106466, 0.387965, 0.003891, 0.033438, -0.003064, -0.237045
3X31TUMD7XM9VBRWK12VKAUTEZU1LO.csv, -122.955961, 32, 27, 0.315317, 2.297488, -0.289761, -0.065446, 1.780000, 0.791712
3LRKMWOKB5H0PLQWI6TIX8FWMV92ZH.csv, -177.659950, 32, 27, 0.717540, 5.000000, 1.293362, 0.820012, 1.279382, 0.290180
3R3YRB5GRF388PRQPYNPMYJFVKCUAI.csv, -123.948477, 33, 28, 0.570796, 3.645507, -1.554855, 1.128754, 3.696079, 0.567303
3VFJCI1K4ZZH2OCC74KUD97YNFXRGY.csv, -85.231063, 38, 32, 0.406078, 4.053008, 2.383218, -0.865359, 2.506852, 1.587748
30BXRYBRP4X0AGO9Q4CIL8RGUTGWHU.csv, -142.594097, 34, 27, 0.792746, 5.000000, -1.958688, -0.713774, 5.000000, 0.822414
3KWTYT087038JTSFLO47N07ARDO5LW.csv, -124.360529, 31, 26, 0.618367, 5.000000, 2.644308, -0.723989, 1.513645, 1.560451
3KB8R4ZV1E7UMHVNB7Y4DU2U5SRGB5.csv, -126.502977, 31, 27, 0.685955, 5.000000, 3.197803, -0.578467, 2.098867, 1.088162
3JZQSN0I3QAKZY73G9K0WKTFJMZGFU.csv, -112.445395, 29, 26, 0.585225, 5.000000, 2.247883, 0.021032, 2.393095, 0.008219
30LSNF239UVEUV1MI25WXDC6P1C2IQ.csv, -154.563203, 27, 22, 0.762580, 1.451721, 1.995263, -0.611230, 4.063314, 1.532992
3WS1NTTKEYCNOUWI27VXBS6ZD9I0FS.csv, -178.694824, 37, 34, 0.921627, 5.000000, 3.778171, -1.081974, 5.000000, 0.214709
30OG32W0SUBY3COT82DP4MHC91HEN2.csv, -156.162998, 30, 26, 0.745201, 5.000000, 2.682178, -0.023242, 3.210462, 0.386235
3KKG4CDWKIYVM8N6IMI7DZA1R8L498.csv, -132.763235, 29, 25, 0.467868, 5.000000, 1.772279, -0.611018, 1.564054, 0.656568
3KRVW3HTZNLTVD8BXWIUGOWR52JSMK.csv, -146.359255, 29, 24, 0.842382, 4.587444, -0.287965, -2.067160, 5.000000, 1.000611
3YZ8UPK3VTMW14OO9CJGST93WLVUCF.csv, -41.100135, 42, 36, 0.346863, 5.000000, 0.961760, 3.344343, 5.000000, -1.596208
3QAPZX2QN4D3N0K6ECGQR9CA457022.csv, -118.610612, 35, 29, 0.551926, 4.176053, 1.880249, -0.026955, 2.199374, 0.815289
36DSNE9QZ5YOWDAXNIOTGRU94JJJO8.csv, -136.070149, 63, 46, 0.100000, 0.732348, -0.181209, -0.185637, 1.201019, 1.347174
31Z0PCVWUKFBPAE3IQLV7BVNBSM7TO.csv, -153.040112, 29, 26, 0.834213, 5.000000, 0.870983, 0.268635, 5.000000, 0.082009
3SITXWYCNV9583QD0HY81G2P81XBX4.csv, -161.524565, 42, 34, 0.156335, 0.937376, 0.641465, -0.395482, 1.659995, 0.522176
3HYA4D452RJUK4ZWHUZBUGZEA792FL.csv, -53.361720, 67, 47, 0.189966, 1.997762, 5.000000, -0.486160, 3.182964, 5.000000
31UV0MXWNQC6TSK90L7UVKFIAEKI5V.csv, -142.308194, 30, 26, 0.719121, 3.435326, 2.163838, -1.100531, 2.877821, 1.292935
3K3R2QNK8B3U36HLXS9PQ38VQ5Q9UL.csv, -93.052645, 39, 33, 0.510797, 3.384265, 0.081251, 1.502704, 1.489818, 1.727303
3ZAZR5XV01IDN3IYFZIO9LOIXZTCZW.csv, -94.778814, 46, 37, 0.503784, 3.763840, -3.945808, 0.948621, 5.000000, 2.059088
3KYQYYSHYV7BTRA5DM2IDTZWZZPDOR.csv, -147.764252, 31, 26, 0.717055, 3.266617, -0.236890, -0.862667, 5.000000, 0.598997
3137ONMDKG5STK77LY0UE28F88LGEO.csv, -186.215313, 41, 29, 0.223653, 0.826254, -0.721348, 0.053866, 1.290663, -2.793561
3QAVNHZ3EM45PZ4WGKVOVBNWJRKAL2.csv, -92.319256, 49, 40, 0.236696, 2.479830, 0.887592, -0.294670, 1.126208, 1.729032
32EYX73OY09076D7R99BHO8PWMURUE.csv, -125.924711, 33, 26, 0.209019, 2.139446, -0.447148, 0.364798, 0.440685, 0.880624
3L4PIM1GQTGHOFXC1A60K9E2STMRYV.csv, -148.065283, 38, 31, 0.684017, 3.622180, 0.982429, 0.389017, 5.000000, -0.388880
3Q5ZZ9ZEVOFD4M8WRZV3IVL46FX85O.csv, -96.098628, 53, 40, 0.184756, 5.000000, 0.102747, -0.291097, 1.217509, 0.782778
32M8BPYGATM49P9THHQLZH670IBGIE.csv, -74.229762, 50, 35, 0.176159, 2.128692, 0.502193, -0.392670, 1.903185, 2.135381
